City,State,Speed,Company,Cord,Code,Longitude,Latitude
Elisiário,SP,75.73,VIVO,"[-49.1085, -21.1635]",3514924,-49.1085,-21.1635
Elísio Medrado,BA,47.57,VIVO,"[-39.5325, -12.9465]",2910305,-39.5325,-12.9465
Elói Mendes,MG,78.94,CLARO,"[-45.5535, -21.6045]",3123601,-45.5535,-21.6045
Emas,PB,13.36,TIM,"[-37.7145, -7.1055]",2505907,-37.7145,-7.1055
Embaúba,SP,72.96,VIVO,"[-48.8385, -20.9835]",3514957,-48.8385,-20.9835
Embu das Artes,SP,195.51,TIM,"[-46.8135, -23.6205]",3515004,-46.8135,-23.6205
Embu-Guaçu,SP,50.0,CLARO,"[-46.8225, -23.8365]",3515103,-46.8225,-23.8365
Emilianópolis,SP,74.68,VIVO,"[-51.4845, -21.8295]",3515129,-51.4845,-21.8295
Encantado,RS,55.55,VIVO,"[-51.8985, -29.2095]",4306809,-51.8985,-29.2095
Encanto,RN,60.56,VIVO,"[-38.3085, -6.1155]",2403301,-38.3085,-6.1155
Encruzilhada,BA,71.36,VIVO,"[-40.9095, -15.5385]",2910404,-40.9095,-15.5385
Encruzilhada do Sul,RS,31.38,CLARO,"[-52.5195, -30.5415]",4306908,-52.5195,-30.5415
Engenheiro Beltrão,PR,58.31,CLARO,"[-52.1775, -23.7195]",4107504,-52.1775,-23.7195
Engenheiro Caldas,MG,64.15,VIVO,"[-42.0255, -19.0485]",3123700,-42.0255,-19.0485
Engenheiro Coelho,SP,64.06,VIVO,"[-47.2185, -22.4865]",3515152,-47.2185,-22.4865
Engenheiro Navarro,MG,45.8,VIVO,"[-43.9335, -17.2935]",3123809,-43.9335,-17.2935
Engenheiro Paulo de Frontin,RJ,42.09,TIM,"[-43.6095, -22.4865]",3301801,-43.6095,-22.4865
Engenho Velho,RS,37.9,CLARO,"[-52.9155, -27.7065]",4306924,-52.9155,-27.7065
Entre Folhas,MG,60.83,VIVO,"[-42.2325, -19.6155]",3123858,-42.2325,-19.6155
Entre Rios,BA,51.11,VIVO,"[-37.9035, -12.3075]",2910503,-37.9035,-12.3075
Entre Rios,SC,54.69,CLARO,"[-52.5645, -26.7255]",4205175,-52.5645,-26.7255
Entre Rios de Minas,MG,49.52,VIVO,"[-44.0685, -20.6685]",3123908,-44.0685,-20.6685
Entre Rios do Oeste,PR,19.7,TIM,"[-54.2385, -24.7095]",4107538,-54.2385,-24.7095
Entre Rios do Sul,RS,87.46,VIVO,"[-52.7355, -27.5265]",4306957,-52.7355,-27.5265
Entre-Ijuís,RS,52.76,TIM,"[-54.2655, -28.3635]",4306932,-54.2655,-28.3635
Envira,AM,5.86,TIM,"[-70.0245, -7.4295]",1301506,-70.0245,-7.4295
Enéas Marques,PR,58.21,TIM,"[-53.1585, -25.9515]",4107405,-53.1585,-25.9515
Epitaciolândia,AC,53.31,CLARO,"[-68.7285, -11.0385]",1200252,-68.7285,-11.0385
Equador,RN,27.76,VIVO,"[-36.7155, -6.9435]",2403400,-36.7155,-6.9435
Erebango,RS,51.49,VIVO,"[-52.3035, -27.8595]",4306973,-52.3035,-27.8595
Erechim,RS,55.0,TIM,"[-52.2855, -27.6255]",4307005,-52.2855,-27.6255
Ermo,SC,20.65,VIVO,"[-49.6395, -28.9845]",4205191,-49.6395,-28.9845
Ernestina,RS,60.61,VIVO,"[-52.5645, -28.4985]",4307054,-52.5645,-28.4985
Erval Grande,RS,55.05,VIVO,"[-52.5735, -27.3915]",4307203,-52.5735,-27.3915
Erval Seco,RS,40.1,VIVO,"[-53.5005, -27.5535]",4307302,-53.5005,-27.5535
Ervália,MG,91.48,CLARO,"[-42.6015, -20.9565]",3124005,-42.6015,-20.9565
Escada,PE,48.94,VIVO,"[-35.2215, -8.3565]",2605202,-35.2215,-8.3565
Esmeralda,RS,55.79,VIVO,"[-51.1965, -28.0575]",4307401,-51.1965,-28.0575
Esmeraldas,MG,81.69,CLARO,"[-44.3205, -19.8045]",3124104,-44.3205,-19.8045
Espera Feliz,MG,61.54,VIVO,"[-41.8995, -20.6595]",3124203,-41.8995,-20.6595
Esperantina,PI,60.65,CLARO,"[-42.2415, -3.9015]",2203701,-42.2415,-3.9015
Esperantina,TO,64.04,CLARO,"[-48.5325, -5.3685]",1707405,-48.5325,-5.3685
Esperantinópolis,MA,70.94,CLARO,"[-44.8785, -4.8735]",2104008,-44.8785,-4.8735
Esperança,PB,53.16,VIVO,"[-35.8605, -7.0155]",2506004,-35.8605,-7.0155
Esperança Nova,PR,31.27,VIVO,"[-53.8155, -23.7285]",4107520,-53.8155,-23.7285
Espigão Alto do Iguaçu,PR,81.01,CLARO,"[-52.8435, -25.4295]",4107546,-52.8435,-25.4295
Espigão D'Oeste,RO,92.89,CLARO,"[-60.9975, -11.5425]",1100098,-60.9975,-11.5425
Espinosa,MG,77.25,CLARO,"[-42.8085, -14.9355]",3124302,-42.8085,-14.9355
Esplanada,BA,50.24,CLARO,"[-37.9395, -11.7765]",2910602,-37.9395,-11.7765
Espumoso,RS,48.36,VIVO,"[-52.8435, -28.7235]",4307500,-52.8435,-28.7235
Espírito Santo,RN,28.19,CLARO,"[-35.3025, -6.3315]",2403509,-35.3025,-6.3315
Espírito Santo do Dourado,MG,7.97,VIVO,"[-45.9495, -22.0455]",3124401,-45.9495,-22.0455
Espírito Santo do Pinhal,SP,64.11,CLARO,"[-46.7865, -22.2075]",3515186,-46.7865,-22.2075
Espírito Santo do Turvo,SP,43.11,VIVO,"[-49.4325, -22.7025]",3515194,-49.4325,-22.7025
Estação,RS,49.85,VIVO,"[-52.2585, -27.9135]",4307559,-52.2585,-27.9135
Esteio,RS,44.18,VIVO,"[-51.1785, -29.8485]",4307708,-51.1785,-29.8485
Estiva,MG,57.15,VIVO,"[-46.0125, -22.4595]",3124500,-46.0125,-22.4595
Estiva Gerbi,SP,60.72,CLARO,"[-46.9575, -22.2795]",3557303,-46.9575,-22.2795
Estreito,MA,33.1,CLARO,"[-47.4435, -6.5655]",2104057,-47.4435,-6.5655
Estrela,RS,60.94,VIVO,"[-51.9165, -29.5335]",4307807,-51.9165,-29.5335
Estrela Dalva,MG,63.39,VIVO,"[-42.4575, -21.7395]",3124609,-42.4575,-21.7395
Estrela d'Oeste,SP,61.12,CLARO,"[-50.4045, -20.2905]",3515202,-50.4045,-20.2905
Estrela de Alagoas,AL,59.9,VIVO,"[-36.7515, -9.3915]",2702553,-36.7515,-9.3915
Estrela do Indaiá,MG,16.44,VIVO,"[-45.7785, -19.5255]",3124708,-45.7785,-19.5255
Estrela do Norte,GO,9.8,TIM,"[-49.0635, -13.8645]",5207501,-49.0635,-13.8645
Estrela do Norte,SP,73.09,CLARO,"[-51.6645, -22.4865]",3515301,-51.6645,-22.4865
Estrela do Sul,MG,55.47,VIVO,"[-47.7945, -18.6975]",3124807,-47.7945,-18.6975
Estância,SE,40.59,VIVO,"[-37.3725, -11.1285]",2802106,-37.3725,-11.1285
Estância Velha,RS,70.89,CLARO,"[-51.2145, -29.6595]",4307609,-51.2145,-29.6595
Euclides da Cunha,BA,30.75,VIVO,"[-39.0375, -10.4985]",2910701,-39.0375,-10.4985
Euclides da Cunha Paulista,SP,91.24,VIVO,"[-52.5915, -22.5495]",3515350,-52.5915,-22.5495
Eugenópolis,MG,54.36,CLARO,"[-42.1785, -21.1005]",3124906,-42.1785,-21.1005
Eugênio de Castro,RS,41.7,TIM,"[-54.1485, -28.5255]",4307831,-54.1485,-28.5255
Eunápolis,BA,60.07,VIVO,"[-39.4155, -16.0875]",2910727,-39.4155,-16.0875
Eusébio,CE,69.285,VIVO,"[-38.4705, -3.8565]",2304285,-38.4705,-3.8565
